"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1928,NA,NA,NA,NA,34,37,41,40,32,31,13,2
"2",1929,-9,-7,19,21,32,35,47,51,38,23,10,7
"3",1930,-18,11,16,33,28,40,50,53,35,25,2,-7
"4",1931,-8,9,14,24,30,46,45,45,36,28,0,-11
"5",1932,-11,2,15,26,36,38,44,39,38,19,17,-21
"6",1933,1,-30,11,19,29,47,52,43,41,30,22,9
"7",1934,14,26,26,29,34,42,52,52,31,31,19,6
"8",1935,-7,14,18,30,35,41,48,47,37,18,17,11
"9",1936,5,-7,21,14,34,42,53,48,31,27,6,16
"10",1937,-20,7,17,28,32,35,57,51,35,29,23,12
"11",1938,16,10,17,22,29,40,44,47,47,28,13,17
"12",1939,10,-2,14,27,35,37,50,49,34,30,22,0
"13",1940,8,12,20,31,38,42,55,51,40,36,5,5
"14",1941,8,20,21,27,35,41,52,48,32,30,10,9
"15",1942,-13,0,17,30,34,42,55,44,32,28,21,16
"16",1943,1,8,18,33,32,38,47,40,42,29,20,8
"17",1944,-5,5,16,28,30,43,48,47,41,36,12,12
"18",1945,9,15,12,18,38,39,49,48,33,25,19,5
"19",1946,4,13,24,31,27,42,50,52,32,27,14,4
"20",1947,-5,20,26,30,42,40,48,46,36,32,16,8
"21",1948,4,3,14,26,28,46,45,46,34,28,13,-4
"22",1949,-22,-10,25,30,37,41,50,54,36,28,26,8
"23",1950,-1,-4,19,25,32,36,45,48,33,31,13,20
"24",1951,3,1,16,23,32,38,49,48,38,26,14,-3
"25",1952,-1,6,5,30,40,41,49,49,40,32,2,9
"26",1953,18,15,19,24,31,40,53,52,43,28,20,10
"27",1954,7,11,13,31,29,35,47,45,30,26,15,7
"28",1955,0,0,15,15,30,42,45,53,36,25,-14,17
"29",1956,2,-1,13,24,33,43,48,45,33,22,13,-3
"30",1957,-2,17,21,30,33,40,51,52,37,26,15,10
"31",1958,9,18,17,29,36,41,51,50,31,26,6,16
"32",1959,-1,11,20,22,33,41,47,46,33,24,11,8
"33",1960,-3,-4,13,24,31,38,53,44,42,18,19,9
"34",1961,6,12,24,24,28,44,52,56,32,23,14,-10
"35",1962,-14,-2,9,28,36,35,50,38,34,31,18,5
"36",1963,-18,13,10,26,35,39,43,53,44,30,17,-5
"37",1964,-10,2,5,27,28,42,50,37,31,23,13,5
"38",1965,3,6,10,28,25,42,50,37,27,30,16,9
"39",1966,5,-3,2,23,30,36,49,44,43,24,16,9
"40",1967,2,18,19,28,27,42,54,55,36,27,16,4
"41",1968,0,5,21,27,30,40,40,45,31,27,20,2
"42",1969,5,1,21,31,37,38,50,50,43,28,15,13
"43",1970,6,23,19,23,33,41,47,52,30,23,25,-1
"44",1971,-6,12,3,22,33,43,51,52,32,16,16,4
"45",1972,3,0,22,28,28,48,52,48,37,24,20,-15
"46",1973,-13,-1,27,25,34,40,50,51,42,29,14,4
"47",1974,-8,7,16,28,37,38,49,45,39,34,24,10
"48",1975,3,6,17,27,32,43,53,45,39,26,16,1
"49",1976,-2,4,15,28,37,40,55,43,43,26,7,3
"50",1977,-2,9,13,27,34,51,53,47,40,33,5,10
"51",1978,18,17,28,30,31,39,51,47,34,28,17,2
"52",1979,-8,1,20,29,34,39,55,52,45,28,11,12
"53",1980,-4,3,23,30,37,42,56,48,38,28,15,19
"54",1981,24,16,27,31,34,39,53,52,39,31,23,7
"55",1982,1,0,25,19,33,41,50,58,39,28,18,8
"56",1983,11,20,24,24,34,43,48,55,35,35,24,6
"57",1984,-6,6,13,30,35,43,56,59,39,28,23,7
"58",1985,-6,-9,17,34,39,48,58,55,34,33,8,2
"59",1986,6,16,28,31,35,50,50,58,33,28,23,13
"60",1987,0,20,22,29,38,45,53,51,38,35,21,0
"61",1988,1,11,19,27,31,50,58,52,38,39,22,0
"62",1989,2,-14,15,34,34,43,57,44,45,28,16,16
"63",1990,7,7,12,29,33,40,55,52,48,30,24,-11
"64",1991,-4,9,22,29,36,46,52,57,42,21,11,6
"65",1992,1,12,32,34,41,46,49,42,40,35,7,3
"66",1993,-4,12,21,31,33,40,48,46,42,27,3,14
"67",1994,18,14,21,31,39,46,50,56,48,25,10,11
"68",1995,14,11,23,29,34,39,47,51,38,28,20,16
"69",1996,12,-12,21,30,37,47,58,51,38,25,21,10
"70",1997,10,19,21,23,33,47,48,58,41,28,21,8
"71",1998,13,11,14,32,42,41,61,53,43,33,26,1
"72",1999,16,14,20,26,30,43,57,55,35,29,18,12
"73",2000,13,17,20,30,34,44,57,56,36,34,15,11
"74",2001,12,7,28,25,33,37,59,56,42,31,15,7
"75",2002,-5,4,15,30,26,36,59,52,46,20,17,18
"76",2003,17,11,24,27,35,48,58,57,38,26,15,13
"77",2004,6,-5,21,32,40,48,56,48,36,30,13,7
"78",2005,17,11,23,30,35,39,54,46,39,33,20,5
"79",2006,17,5,22,28,39,45,62,49,36,25,4,12
"80",2007,-1,15,16,26,34,42,61,56,35,32,19,5
"81",2008,-2,7,21,24,31,42,59,53,47,29,25,8
"82",2009,3,20,20,28,36,48,56,49,38,27,19,0
"83",2010,1,20,24,27,31,40,57,46,43,32,6,5
"84",2011,5,8,27,27,32,42,59,59,51,29,23,15
"85",2012,13,22,22,26,38,41,63,61,50,29,21,12
"86",2013,-2,9,22,27,33,48,66,65,42,34,23,4
"87",2014,11,19,30,29,35,41,58,51,45,33,14,1
"88",2015,5,21,25,29,44,54,53,58,45,37,20,4
"89",2016,-1,14,31,34,41,55,51,55,46,36,25,4
"90",2017,-6,21,27,33,34,50,63,60,40,32,26,14
"91",2018,19,12,24,29,41,50,59,51,45,29,22,13
"92",2019,6,12,27,33,35,43,56,59,38,14,20,20
"93",2020,20,9,27,29,37,42,53,53,42,19,21,16
